video_id,frames,fps
video_2_scene_1,10149,30.0
video_49_scene_10,9812,30.0
video_48_scene_10,10675,30.0
video_25_scene_5,10673,30.0
video_35_scene_7,9098,30.0
video_22_scene_5,13778,30.0
video_37_scene_7,10337,30.0
video_12_scene_4,10570,30.0
video_43_scene_8,11681,30.0
video_24_scene_5,11800,30.0
video_40_scene_8,14629,30.0
video_21_scene_5,9085,30.0
video_18_scene_5,7350,30.0
video_42_scene_8,7920,30.0
video_32_scene_6,13611,30.0
video_44_scene_9,7742,30.0
video_45_scene_9,10263,30.0
video_33_scene_6,8274,30.0
video_20_scene_5,13981,30.0
video_17_scene_4,15273,30.0
video_34_scene_7,10446,30.0
video_39_scene_8,10081,30.0
video_16_scene_4,15426,30.0
video_4_scene_1,11631,30.0
video_31_scene_6,9937,30.0
video_19_scene_5,14440,30.0
video_13_scene_4,9322,30.0
video_14_scene_4,14666,30.0
video_15_scene_4,8649,30.0
video_26_scene_5,11369,30.0
video_1_scene_1,10193,30.0
video_28_scene_5,10151,30.0
video_46_scene_9,10250,30.0
video_47_scene_9,9117,30.0
video_9_scene_3,15247,30.0
video_7_scene_2,9909,30.0
video_29_scene_5,12185,30.0
video_11_scene_3,17710,30.0
video_27_scene_5,14299,30.0
video_6_scene_2,9483,30.0
video_23_scene_5,10667,30.0
video_30_scene_5,9335,30.0
video_41_scene_8,9995,30.0
video_8_scene_3,11575,30.0
video_38_scene_7,11749,30.0
video_3_scene_1,10355,30.0
video_50_scene_10,9742,30.0
video_36_scene_7,11598,30.0
video_10_scene_3,26787,30.0
video_5_scene_2,7186,30.0
